StockCode,Description,UnitPrice,Quantity | TimeStamp
021,Testing,1.6,24 | 22.11.2018 at 10:02:54 GMT
021,Testing,1.4,30 | 22.11.2018 at 10:04:26 GMT
020,Orange Juice,1.80,-6 | 22.11.2018 at 10:04:47 GMT
022,Test2,1.3,40 | 22.11.2018 at 10:05:12 GMT
023,Tester,1.3,20 | 22.11.2018 at 10:08:37 GMT
023,Tester,1.5,20 | 22.11.2018 at 10:10:27 GMT
024,Test2,1.4,30 | 22.11.2018 at 10:10:44 GMT
021,test,1.4,20 | 22.11.2018 at 10:12:37 GMT
021,test,1.4,20 | 22.11.2018 at 10:13:31 GMT
022,test2,1.7,30 | 22.11.2018 at 10:13:46 GMT
023,test,1.3,40 | 22.11.2018 at 10:14:04 GMT
021,test,1.4,-10 | 22.11.2018 at 10:14:17 GMT
022,test2,1.7,-26 | 22.11.2018 at 10:14:29 GMT
021,test,1.4,24 | 22.11.2018 at 10:16:14 GMT
021,test,1.4,20 | 22.11.2018 at 10:16:36 GMT
021,test,1.4,24 | 22.11.2018 at 10:19:04 GMT
021,test,1.4,20 | 22.11.2018 at 10:20:50 GMT
021,test,1.4,20 | 22.11.2018 at 10:36:47 GMT
021,test,1.4,20 | 22.11.2018 at 10:38:31 GMT
021,test,1.5,40 | 22.11.2018 at 10:39:57 GMT
021,test,1.4,20 | 22.11.2018 at 10:44:07 GMT
022,Test,1.4,25 | 22.11.2018 at 10:46:53 GMT
022,test,1.4,20 | 22.11.2018 at 10:48:03 GMT
022,test,1.2,56 | 22.11.2018 at 10:48:42 GMT
021,test,1.4,23 | 22.11.2018 at 10:50:02 GMT
021,hello,1.3,20 | 22.11.2018 at 10:50:25 GMT
021,test,1.5,20 | 22.11.2018 at 10:51:39 GMT
021,test,1.4,20 | 22.11.2018 at 10:54:11 GMT
021,Test,1.3,30 | 22.11.2018 at 10:56:16 GMT
021,test,1.3,20 | 22.11.2018 at 10:57:02 GMT
010,Coke Vanilla,1.3,-15 | 26.11.2018 at 13:57:46 GMT
010,Coke Vanilla,1.3,-11 | 26.11.2018 at 13:57:59 GMT
021,test,1.4,30 | 26.11.2018 at 14:04:00 GMT
021,test,1.4,-20 | 26.11.2018 at 14:04:38 GMT
022,test2,1.4,20 | 26.11.2018 at 14:07:05 GMT
023,test,1.4,20 | 26.11.2018 at 14:07:48 GMT
020,Orange Juice,1.8,-15 | 26.11.2018 at 14:09:58 GMT
010,Coke Vanilla,1.3,19 | 26.11.2018 at 14:12:07 GMT
021,test,19,20 | 26.11.2018 at 14:13:49 GMT
022,test,1.3,24 | 26.11.2018 at 14:14:05 GMT
004,,,-10 | 22.12.2018 at 14:32:01 GMT
004,,,-10 | 22.12.2018 at 14:32:15 GMT
004,,,-1 | 22.12.2018 at 14:32:23 GMT
004,,,-1 | 22.12.2018 at 14:32:42 GMT
004,Sprite,1.5,-2 | 02.01.2019 at 15:41:55 GMT
001,Coke,1.2,-15 | 02.01.2019 at 15:49:10 GMT
001,Coke,1.2,-6 | 02.01.2019 at 15:49:28 GMT
001,Coke,1.2,-20 | 02.01.2019 at 15:51:31 GMT
001,Coke,1.2,-6 | 02.01.2019 at 15:51:46 GMT
004,Sprite,1.5,-15 | 02.01.2019 at 16:13:54 GMT
004,,,-6 | 02.01.2019 at 16:14:07 GMT
001,Coke,1.2,-15 | 02.01.2019 at 16:15:45 GMT
001,Coke,1.2,-6 | 02.01.2019 at 16:16:00 GMT
004,Sprite,1.5,-15 | 02.01.2019 at 16:17:34 GMT
004,Sprite,1.5,-5 | 02.01.2019 at 16:18:19 GMT
001,Coke,1.2,-16 | 02.01.2019 at 16:19:45 GMT
004,Sprite,1.5,-11 | 02.01.2019 at 16:22:37 GMT
004,Sprite,1.5,-9 | 02.01.2019 at 16:22:56 GMT
004,Sprite,1.5,10 | 02.01.2019 at 16:28:32 GMT
021,test,1.3,20 | 02.01.2019 at 16:28:47 GMT
021,test,1.3,-20 | 02.01.2019 at 16:28:52 GMT
022,test,1.4,20 | 02.01.2019 at 16:29:57 GMT
022,test,1.4,-20 | 02.01.2019 at 16:30:12 GMT
021,test,1.3,10 | 02.01.2019 at 16:30:27 GMT
022,test,1.4,0 | 02.01.2019 at 16:30:55 GMT
021,test,1.3,25 | 02.01.2019 at 16:32:48 GMT
,,, | 02.01.2019 at 17:16:35 GMT
